Label,preprocessed_data
1,great day nt think group food averag buffet ok regular servic restaur averag servic good bar snack bar good tip help room nice work shade beach challleng reserv allow creat problem gm twice unsu hut reclaim user pay reserv gynm casino joke beer cold good ca nt wrong cold president beer drink barcelo imperi extra brugal good tend carter european saw albita cuban night great mojito good summari like buffet time day day
1,good star certainli star tower block hotel hous signific number meet room basement minut walk maria christina metro station minut ramblasharbour direct tram bu rout directli outsid short walk footbal stadiumth hotel classifi star rate good star porterageconcierg servic grand foyer desk staff slow decidedli grumpi gym pool internet includ room rate conferenceth room fairli standard size bathroom slightli larger normal came bidet room bathroom fittedth restaur serv excel breakfast buffet nice desert buffet price even meal bar snack buffet expensiveoveral star hotel pretend star let grumpi slow desk servic lack inclus room servic expens restaur price
1,fade excel stop trip china great introduct hotel foyer resembl cross shop mall offic block recept area staff amen overli friendli allow plenti time chang currenc hotel stay china form took longest room clean spaciou good facil seen better day place scream overhaulunexpect high point basement bowl alley fun way pass hour locat good minut leisur stroll tiananmen squarebreakfast good interest select western chines food offer
2,love come busi meet use meet facil team wow say attent team need met ask cater staff banquet sale staff av team set banquet manag percent superb meet room larg comfort av equip date work great food realli good cater banquet team noth hard work smile strongli advis space look larg event conferenceth sleep room spaciou comfort bed soft soft linen warm cozi love amen room fluffi towel nice shower head beauti balconi larger apart new york food realli nice servic smile time tri realli enjoy egg benedict best desk staff nice warm welcom check coupl yummi warm cooki ca nt beat realli great place stay event close airport far downtown seattl great place
1,pleasant vacat sister spent day resort juli juli use motor scooter read review nervou accomod pleasantli supris resort access reciev access room reserv problem tile floor slipperi wet shower walk type caus bathroom floor wet water turn solv problem put towel floor morn routin room larg spaciou maid fine job mainten tip toilet paper toilet trash toilet paper forgot time problem flush sceneri pretti unabl beach scooter travel sand saw pretti spent time near pool day sister ventur outsid resort shop plaza outsid resort gate overwhelm negoti sister short time annoy aggress vendor impress food admit picki eater sister unimpress food special restaur good especi italian care buffet meat tough overdon season guess cook larg group overal good time read review nt expect pleasantli surpris got
1,good valu noisi stay night larg room clean real extra like pool safe free park transit outsid door restaur walk distanc noisi time bar hotel station street hotel main street go citi
0,horribl custom servic friend girl weekend plan hotel friend birthday purchas favorit bottl wine plan give birthday arriv hotel valet saw bottl refus let bring wine hotel group peopl bring cooler hotelw appoint book zaspa pm even wait pm ask staff go help told run minut dinner reserv pm cancelat dinner waiter walk away tabl appar ask question menu proceed charg extra entre orderedthroughout stay ask speak gener manag manag duti time everytim ask staff said left manag avail speak usfin day stay question charg credit card left messag bill depart receiv phone themth room nice receiv horribl servic wish stay hotel crescent court street
1,queen day museum squar stay hotel unknowingli book holiday queen day april differ amsterdam expect hotel quit walk centr tram nearbi stop queen day walk walk recept staff incred friendli help actual dutch peopl stayit easi catch bu airport stop outsid hotel take min breakfast adequatebut noth specialther fridg room use purchas milk shower bathroom twin bed despit book doubl kept clean agre need refurbish decor carpet public placesoveral pleasant stay good valu
1,recent renov hotel nice littl hotel sutterpowel street union squar area lori diner corner walgreen streetth hotel recent complet renov lobbi brand new comfort kiosk guest use free complimentari even wine recept pm pm fresh cooki serv daili pass club fit center block away elev hotel fairli quick morn free continent breakfast serv coffeewat choic yogurt muffin scone avail larg tasteyth room smaller job bed comfort flat screen tv nice featur nice cabl channel free wifi avail roomsbathroom small clean sign age includ crack tile paint peel scuf furnitur piec overal fine coupl nightsno restaur room servic hotel plenti restaur nearbi check dotti true blue cafe best breakfast san francisco enjoy
1,love beach resort trip punta cana march th march arriv hotel resort impress resort beauti clean beach fantast best beach carribean like play wave water beauti blue white sand wave right size big small resort light sleeper resort build build stori high elev soon walk build echo floor near entranc build hear constant talk room stress fact disco young adult open pm mean possibl hear come room hour night happen floor near entranc complain follow morn room said avail grade build rd floor littl quieter took room quieter rain night hear rain realli roof food greatest better resort littl sick food know mean buffet make reserv coupl snack bar beach lunch night choic differ restaur make reserv daili lobbi build choic time want choic like exampl pm pm staff peopl work visitor known english like instanc oper know english punta cana worth vist return resort
